player_id,year,matches_played,runs,highest_score,bat_avg,centuries,wickets,best_bowling_innings,bowl_avg,five_wicket_hauls,catches,stumps,ave_diff,match_format,id
1198937,2020,2,27.0,20,27.0,0.0,,,,,0.0,0.0,,T20I,79
1198937,2021,4,59.0,31*,29.5,0.0,,,,,3.0,0.0,,T20I,80
1198937,2022,8,90.0,27,18.0,0.0,,,,,3.0,2.0,,T20I,81
1198937,2023,3,31.0,27,15.5,0.0,,,,,1.0,0.0,,T20I,82
1156489,2019,7,41.0,17,10.25,0.0,7.0,2/10,14.42,0.0,4.0,0.0,-4.17,T20I,83
1156489,2020,2,61.0,59,30.5,0.0,,,,,0.0,0.0,,T20I,84
1156489,2021,8,94.0,31,11.75,0.0,1.0,1/18,51.0,0.0,2.0,0.0,-39.24,T20I,85
1156489,2022,7,73.0,30*,18.25,0.0,,,,,4.0,0.0,,T20I,86
1156489,2023,2,12.0,12*,,0.0,,,,,3.0,0.0,,T20I,87
1318791,2022,5,71.0,24,14.2,0.0,,,,,3.0,0.0,,T20I,88
402106,2020,3,64.0,41*,32.0,0.0,3.0,2/11,4.33,0.0,3.0,0.0,27.66,T20I,89
402106,2021,4,70.0,33*,23.33,0.0,,,,,0.0,0.0,,T20I,90
402106,2022,7,80.0,20*,13.33,0.0,,,,,2.0,0.0,,T20I,91
402106,2023,11,350.0,83,35.0,0.0,0.0,,,0.0,4.0,0.0,,T20I,92
402106,2024,12,392.0,99,49.0,0.0,2.0,1/10,19.0,0.0,7.0,0.0,30.0,T20I,93
1172281,2019,5,32.0,17*,16.0,0.0,5.0,2/21,23.4,0.0,1.0,0.0,-7.39,T20I,94
1172281,2020,3,11.0,10,5.5,0.0,4.0,4/14,11.25,0.0,1.0,0.0,-5.74,T20I,95
1172281,2021,4,90.0,72*,90.0,0.0,6.0,2/25,15.33,0.0,1.0,0.0,74.66,T20I,96
974173,2021,1,12.0,9,6.0,0.0,0.0,,,0.0,0.0,0.0,,Test,97
335850,2023,4,48.0,42,16.0,0.0,,,,,1.0,0.0,,T20I,98
335850,2024,3,57.0,36,28.5,0.0,,,,,2.0,0.0,,T20I,99
39084,2009,3,52.0,31,8.66,0.0,6.0,2/59,46.33,0.0,0.0,0.0,-37.66,Test,100
39084,2008,4,,,,,8.0,3/24,26.5,0.0,2.0,0.0,,ODI,101
39084,2008,1,,,,,0.0,,,0.0,0.0,0.0,,T20I,102
56283,2006,1,15.0,15,7.5,0.0,0.0,,,0.0,0.0,0.0,,Test,103
56283,2007,1,4.0,4,4.0,0.0,1.0,1/109,109.0,0.0,0.0,0.0,-104.99,Test,104
56283,2008,3,110.0,33,36.66,0.0,6.0,3/93,58.83,0.0,2.0,0.0,-22.16,Test,105
56283,2010,3,31.0,19,7.75,0.0,9.0,3/132,57.55,0.0,1.0,0.0,-49.8,Test,106
56283,2011,1,54.0,43,27.0,0.0,2.0,1/49,53.0,0.0,0.0,0.0,-25.99,Test,107
56283,2013,2,20.0,13,10.0,0.0,5.0,3/147,71.8,0.0,1.0,0.0,-61.79,Test,108
56283,2014,1,11.0,11*,,0.0,0.0,,,0.0,0.0,0.0,,Test,109
56283,2018,1,3.0,2,1.5,0.0,5.0,4/63,24.6,0.0,0.0,0.0,-23.09,Test,110
56283,2004,5,39.0,21,13.0,0.0,6.0,3/17,27.16,0.0,0.0,0.0,-14.16,ODI,111
56283,2005,1,0.0,0,0.0,0.0,1.0,1/51,51.0,0.0,0.0,0.0,-50.99,ODI,112
56283,2006,26,86.0,21,17.2,0.0,45.0,5/33,17.95,1.0,8.0,0.0,-0.75,ODI,113
56283,2007,23,117.0,28,13.0,0.0,30.0,3/20,31.4,0.0,5.0,0.0,-18.39,ODI,114
56283,2008,26,225.0,33,17.3,0.0,29.0,3/20,39.1,0.0,7.0,0.0,-21.79,ODI,115
56283,2009,8,20.0,11*,6.66,0.0,22.0,5/29,15.09,1.0,3.0,0.0,-8.42,ODI,116
56283,2010,22,76.0,27,10.85,0.0,29.0,5/30,32.0,1.0,2.0,0.0,-21.14,ODI,117
56283,2011,18,87.0,35,9.66,0.0,17.0,3/21,40.7,0.0,2.0,0.0,-31.03,ODI,118
56283,2012,9,13.0,6,2.6,0.0,16.0,3/19,20.75,0.0,3.0,0.0,-18.14,ODI,119
56283,2013,9,95.0,53*,47.5,0.0,9.0,5/62,38.44,1.0,1.0,0.0,9.05,ODI,120
56283,2014,6,21.0,16*,21.0,0.0,3.0,1/55,112.33,0.0,1.0,0.0,-91.33,ODI,121
56283,2006,1,0.0,0,0.0,0.0,3.0,3/17,5.66,0.0,0.0,0.0,-5.66,T20I,122
